epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,6397.87,0.32402,0.24891,0.9843,0.84291,0.8636,0.90525,0.76546,0.67834,0.60156,1.5847,0.0029215,0.0029215,0.0029215
145,6441.37,0.32246,0.24705,0.9812,0.86455,0.84714,0.90801,0.76848,0.67812,0.59946,1.58598,0.002872,0.002872,0.002872
146,6485.4,0.32177,0.24187,0.9824,0.81021,0.9101,0.90907,0.77111,0.6807,0.59873,1.59031,0.0028225,0.0028225,0.0028225
147,6529.01,0.31769,0.24547,0.98202,0.82417,0.89841,0.90715,0.77086,0.68299,0.60221,1.5984,0.002773,0.002773,0.002773
148,6573.13,0.31573,0.24452,0.97956,0.82218,0.90248,0.91044,0.774,0.68409,0.60451,1.60328,0.0027235,0.0027235,0.0027235
149,6617.28,0.31641,0.24717,0.98143,0.81791,0.91296,0.9094,0.77,0.68562,0.6141,1.60669,0.002674,0.002674,0.002674
150,6661.04,0.31241,0.24341,0.97962,0.81554,0.91663,0.90999,0.76945,0.68611,0.61424,1.60951,0.0026245,0.0026245,0.0026245
151,6704.03,0.3108,0.24144,0.97506,0.85819,0.86384,0.90723,0.76633,0.68741,0.63001,1.61228,0.002575,0.002575,0.002575
152,6748.61,0.30863,0.2358,0.97095,0.831,0.89358,0.90254,0.76445,0.68828,0.63909,1.61488,0.0025255,0.0025255,0.0025255
153,6791.67,0.30736,0.23827,0.9755,0.8507,0.86785,0.90112,0.76457,0.68745,0.63724,1.61552,0.002476,0.002476,0.002476
154,6835.46,0.30769,0.2372,0.97132,0.85591,0.86933,0.89965,0.76068,0.68771,0.63883,1.61546,0.0024265,0.0024265,0.0024265
155,6878.58,0.30337,0.23613,0.96968,0.85708,0.86889,0.89834,0.75927,0.68729,0.63769,1.61508,0.002377,0.002377,0.002377
156,6921.66,0.30205,0.23567,0.97098,0.85946,0.87293,0.89949,0.75984,0.68955,0.65083,1.6196,0.0023275,0.0023275,0.0023275
157,6964.94,0.29663,0.22896,0.96682,0.85099,0.87198,0.89969,0.75957,0.6899,0.64717,1.62296,0.002278,0.002278,0.002278
158,7008.45,0.30019,0.22623,0.97112,0.84178,0.885,0.90063,0.76026,0.6897,0.64998,1.62283,0.0022285,0.0022285,0.0022285
159,7051.84,0.30129,0.23079,0.97098,0.86765,0.85612,0.90204,0.76259,0.689,0.6506,1.62335,0.002179,0.002179,0.002179
160,7095.58,0.29632,0.22265,0.96997,0.84486,0.88448,0.90043,0.76058,0.6898,0.63768,1.62528,0.0021295,0.0021295,0.0021295
161,7139.72,0.29173,0.22389,0.9645,0.85989,0.86709,0.90106,0.76127,0.68977,0.62912,1.62763,0.00208,0.00208,0.00208
162,7184.54,0.29771,0.22712,0.9709,0.8656,0.86448,0.90203,0.76085,0.6895,0.62745,1.62921,0.0020305,0.0020305,0.0020305
163,7228.85,0.28959,0.2201,0.96259,0.83848,0.89387,0.90208,0.75952,0.69008,0.62354,1.63144,0.001981,0.001981,0.001981
164,7272.45,0.28544,0.22343,0.96457,0.83459,0.90077,0.90274,0.76102,0.68958,0.61488,1.63396,0.0019315,0.0019315,0.0019315
165,7317.07,0.28839,0.22502,0.96246,0.8939,0.83971,0.90436,0.76264,0.68926,0.61258,1.63538,0.001882,0.001882,0.001882
166,7360.92,0.28704,0.22427,0.95879,0.8966,0.83971,0.90511,0.76284,0.68981,0.60821,1.63641,0.0018325,0.0018325,0.0018325
167,7405.24,0.28307,0.21533,0.96012,0.82381,0.91567,0.90674,0.76398,0.68921,0.60453,1.63771,0.001783,0.001783,0.001783
168,7449.34,0.28221,0.21872,0.96327,0.855,0.88614,0.90622,0.76296,0.68904,0.60052,1.63902,0.0017335,0.0017335,0.0017335
169,7493.11,0.27905,0.21211,0.95788,0.857,0.88537,0.90582,0.76222,0.68876,0.60266,1.63928,0.001684,0.001684,0.001684
170,7537.99,0.27924,0.216,0.96102,0.85727,0.88141,0.90638,0.76364,0.68839,0.6033,1.63883,0.0016345,0.0016345,0.0016345
171,7580.86,0.27421,0.21084,0.95754,0.85561,0.88141,0.9064,0.76223,0.68779,0.60927,1.6384,0.001585,0.001585,0.001585
172,7624,0.27517,0.21238,0.95968,0.82531,0.91378,0.90578,0.76171,0.68662,0.60883,1.63773,0.0015355,0.0015355,0.0015355
173,7667.31,0.27707,0.21358,0.95558,0.83526,0.90121,0.90747,0.76291,0.68692,0.60682,1.63989,0.001486,0.001486,0.001486
174,7711.56,0.27151,0.20667,0.95444,0.8396,0.90347,0.90726,0.76188,0.68687,0.6107,1.64164,0.0014365,0.0014365,0.0014365
175,7755.47,0.26909,0.20923,0.95304,0.83956,0.9,0.90699,0.76177,0.68697,0.61142,1.64395,0.001387,0.001387,0.001387
176,7800.51,0.26354,0.20535,0.95325,0.84282,0.89523,0.90571,0.7614,0.68695,0.61541,1.6453,0.0013375,0.0013375,0.0013375
177,7844.12,0.26398,0.20321,0.95076,0.84522,0.89779,0.90574,0.76079,0.68679,0.61482,1.6461,0.001288,0.001288,0.001288
178,7888.81,0.26392,0.20191,0.94881,0.8452,0.89684,0.90615,0.76021,0.68714,0.61607,1.64726,0.0012385,0.0012385,0.0012385
179,7933.13,0.26102,0.20212,0.95018,0.84345,0.89409,0.90646,0.76017,0.68683,0.61608,1.64919,0.001189,0.001189,0.001189
180,7977,0.26114,0.20304,0.95123,0.84336,0.89206,0.90652,0.76051,0.68712,0.61463,1.65173,0.0011395,0.0011395,0.0011395
181,8020.86,0.26149,0.20296,0.94959,0.8458,0.89043,0.90693,0.75984,0.68752,0.61559,1.65356,0.00109,0.00109,0.00109
182,8065.51,0.25967,0.20248,0.95093,0.84719,0.89132,0.9084,0.76178,0.68791,0.61443,1.65584,0.0010405,0.0010405,0.0010405
183,8109.49,0.25661,0.19597,0.94799,0.85077,0.89094,0.90743,0.76164,0.6883,0.61405,1.65796,0.000991,0.000991,0.000991
184,8153.14,0.25445,0.19153,0.94628,0.85159,0.89427,0.90807,0.76249,0.6881,0.61198,1.65954,0.0009415,0.0009415,0.0009415
